gene	hr	se	pval	I2	I2_pval	fdr
A1BG	0.0397925799277418	0.0543813966776206	0.464332477647723	0	0.7567961133596	0.966032416233864
A2M	0.00814786257814301	0.0474296321083837	0.863603852825907	0	0.503365737321496	0.994011515215957
A4GALT	-0.00337625768153139	0.0528354455535012	0.949048756493673	0	0.765657913141424	0.997876342250177
AAAS	-0.0352104358102293	0.0540370322808269	0.514660375286687	0	0.676896492391101	0.971967508772701
AACS	-0.0755173106528337	0.0529011088781891	0.15343050170608	0	0.573624690808726	0.895095974695148
AADAC	0.0545239807731422	0.0510685183000124	0.28567243651877	0.082258531257251	0.366590388891906	0.941697073619302
AADAT	0.139584268836167	0.0575196529161443	0.0152358806116243	0	0.656608019648162	0.674813874625834
AAGAB	-0.00492386194657274	0.0523637956283054	0.925083896065315	0	0.790459909389086	0.997876342250177
AAK1	-0.0784729169346593	0.0501381476616006	0.117551505349783	0	0.904579257726805	0.864347451979079
AAMDC	0.050017881235466	0.0508622924891987	0.325411550466425	0	0.704036966278979	0.9454733684563
AAMP	0.0317610909374451	0.0528659436847842	0.547982881595501	0	0.88649238589203	0.975828388637989
AAR2	-0.00117768555175041	0.0555295011757232	0.983079504363172	0	0.528204715464489	0.999544626480796
AARS2	-0.00429846030925249	0.0543316432465148	0.936940971782272	0.191005206801768	0.278560481057644	0.997876342250177
AARSD1	0.132462344585551	0.0572425181834408	0.0206646966029533	0.145231847199833	0.316193408578282	0.724668106329823
AASDH	0.0148061834208646	0.0517900577105045	0.774963499699288	0	0.718179084082571	0.99386017241081
AASDHPPT	0.051614585409786	0.0517954912841088	0.319003719713257	0	0.552116502193782	0.9454733684563
AASS	0.0177747446286098	0.0572714157104432	0.756287367333881	0	0.542551240615369	0.99386017241081
AATK	-0.0222019976590036	0.0503941371347205	0.659526442375957	0	0.542385789471095	0.98700770367469
ABAT	0.0517832662729792	0.0534677221975393	0.332796797932668	0.332398443533332	0.162699031565863	0.9454733684563
ABCA1	-0.0695295212317838	0.0545534804863188	0.202479064081436	0	0.94081969055083	0.91610438953165
ABCA10	-0.0588151530343	0.0557817450856486	0.291709002660952	0	0.611990912754073	0.94464635461458
ABCA12	-0.013997929945617	0.0595720963852793	0.814228442045939	0	0.640585457289092	0.994011515215957
ABCA13	0.0597223222108457	0.0499002442808802	0.231371159671756	0	0.581620069728345	0.923773848045733
ABCA2	-0.0384338181395	0.0532560580741793	0.470491401095949	0.125684749882601	0.332041743083459	0.966401261834112
ABCA3	-0.00925250650366146	0.0515392205192843	0.857526586772576	0.347723977374214	0.150760046783119	0.994011515215957
ABCA4	0.0104944546602215	0.054652355857029	0.847724972814475	0	0.548159129356989	0.994011515215957
ABCA5	-0.032264838932115	0.0484382888963822	0.505345935010692	0	0.938870743556957	0.969602910663388
ABCA6	-3.7346124564419e-05	0.0512978094487091	0.999419119570918	0	0.886272070030415	0.999787177679082
ABCA7	-0.106864752142888	0.055817269438813	0.0555503766087232	0	0.512360630998051	0.806203427710464
