gene	hr	se	pval	I2	I2_pval	fdr
ABCA8	0.0795171109649342	0.0513424015939762	0.121439175866148	0	0.856571177556039	0.867668652980187
ABCA9	-0.0304219808248717	0.0481157501305667	0.527212697032607	0	0.690654218584717	0.974814266515186
ABCB1	-0.087087829577233	0.0771353092395728	0.258886538077999	0.240345708676361	0.237605661684649	0.932148482407885
ABCB10	-0.0651698958071932	0.0867370733446156	0.452442074894779	0.525436330769684	0.0393354991085322	0.964321747387829
ABCB4	0.0810948006130961	0.0520502234466021	0.119230731966563	0	0.722077068817862	0.864416771689862
ABCB6	0.0787596763224113	0.0552559968618379	0.154053223831599	0	0.578085513007687	0.895339033555927
ABCB7	0.0356351637036138	0.0512486418138696	0.4868430700887	0.0501093818256973	0.39146984224445	0.966401261834112
ABCB8	-0.0211639160478511	0.0554162969147982	0.702529754361906	0	0.974476491937564	0.99386017241081
ABCB9	0.013349708491356	0.0519174533314724	0.797075836362954	0	0.504797906436663	0.994011515215957
ABCC1	-0.040440274082121	0.0642273694768604	0.528928586083496	0.08703398637079	0.362841251710557	0.974814266515186
ABCC10	0.0269216448510156	0.0521768638890397	0.605876053152482	0	0.847184654285027	0.979668971169742
ABCC2	-0.0275242734501567	0.0641970513622389	0.668107576510397	0.179777897412078	0.287843491093138	0.988279526153863
ABCC3	-0.0535962902632066	0.0499650435375249	0.283416626979867	0	0.704338118884424	0.94027488190441
ABCC4	0.0486572568153083	0.0537816098665075	0.365614149407644	0	0.88688186440903	0.949184791720116
ABCC5	-0.0398111284301627	0.0531136094377404	0.453527787864862	0.314621353607946	0.176803010135936	0.964321747387829
ABCC6	-0.0110267276855388	0.051551448000042	0.830626962042354	0.287750341743828	0.198531041579546	0.994011515215957
ABCC9	0.00573874901762998	0.0508061455174067	0.910067154608761	0	0.905530158254512	0.996784044270733
ABCD2	-0.1317349266741	0.0703115991442208	0.0609873151695208	0.345229551778865	0.152687815317757	0.806203427710464
ABCD3	0.00984206146643051	0.0503505757447134	0.845024485993075	0	0.900419378526495	0.994011515215957
ABCD4	0.0120650810125491	0.0506574740429178	0.811749390885625	0.0485918868190131	0.392627974415416	0.994011515215957
ABCE1	0.0647254223116619	0.049903098223963	0.194623575565826	0	0.843896056359563	0.911386160529
ABCF1	-0.0138358621336219	0.0532635373499493	0.795047087289082	0.0723076450651452	0.375040699432555	0.99386017241081
ABCF2	0.0847103432225779	0.0532699772516237	0.111787931067935	0	0.735190278590517	0.859800407883378
ABCF3	-0.0521923409105078	0.0680212461114801	0.442906325161711	0.334424002770655	0.161108535682779	0.964321747387829
ABCG1	-0.0295626516511281	0.0861486176744125	0.731479037931899	0.529170638658676	0.0377374489832277	0.99386017241081
ABCG2	0.0606553641039179	0.0517946619830746	0.241569172444973	0.230037169864321	0.246164028025321	0.926872370381801
ABHD1	-0.00323773816269472	0.0506859636964071	0.949067053031025	0.125668905917114	0.33205452156295	0.997876342250177
ABHD10	-0.0246773148635587	0.0526308930059978	0.639158920283655	0	0.841157321088506	0.983008693622883
ABHD12	-0.0596812929744128	0.0526354650681441	0.256852923005943	0.239236251252636	0.238526287946353	0.931932402711955
ABHD12B	0.0650687555574405	0.0643210952830241	0.311717926685118	0.0258119598704869	0.40982770246002	0.9454733684563
ABHD13	-0.0359103369703061	0.0519493034053558	0.489403839276263	0	0.982868159937632	0.966401261834112
ABHD14A	0.0133689491473474	0.0548253322748676	0.807349934720156	0.0535284110161063	0.388854962297401	0.994011515215957
ABHD14B	-0.00970122818042407	0.0636462834810907	0.878852441402674	0.288958679714007	0.197545385545922	0.99408362456212
ABHD15	-0.0354563275298019	0.0624741227956431	0.570349925395576	0.108804729750696	0.345587908518408	0.979668971169742
ABHD17A	-0.0370824401426835	0.0657279527277567	0.572631184383248	0.386287553831384	0.121864098861903	0.979668971169742
ABHD17B	0.053347324502743	0.0624244438480577	0.392777996712857	0.198430102485919	0.272408652009426	0.95085373618206
ABHD17C	0.0696080301316647	0.0546952900414335	0.203141818009611	0.216721321818653	0.257225923320398	0.91610438953165
ABHD2	-0.0130688189525213	0.0516420464720936	0.800217618631663	0	0.81149812136478	0.994011515215957
ABHD3	-0.159051245361212	0.0537061065400545	0.00306133186364165	0	0.788328080353041	0.55434846858669
ABHD4	0.0313336815088055	0.0574406564471383	0.585412033681837	0	0.672470070665517	0.979668971169742
ABHD5	-0.0723235865220062	0.0527763550289902	0.170568754632233	0	0.54387702057833	0.905244816308893
ABHD6	-0.107451657072943	0.0700763385611895	0.125189278064524	0.31692982833393	0.174957764451356	0.872278157660137
ABHD8	-0.0710757572987633	0.0525203457648272	0.175959971093603	0	0.996282896549022	0.905244816308893
ABI1	-0.111759532673794	0.0545771246254814	0.0405858926863428	0	0.650697470183653	0.786474893810367
ABI2	0.0578080598891638	0.0570387113023559	0.310827037611821	0.119294320788898	0.337186270270603	0.9454733684563
ABI3	-0.019857171208561	0.0831524421850229	0.811257238231466	0.498820304445503	0.0517705810910805	0.994011515215957
ABI3BP	0.000693709187485692	0.0662050385125502	0.991639764364984	0.0367803233151784	0.401590097261316	0.999544626480796
ABL1	0.102550253534151	0.0627515755740619	0.102211414527731	0	0.478761123814427	0.852494126253351
ABL2	-0.00154283950825339	0.0630501887241227	0.980477695491639	0.375330923835856	0.12988514952156	0.999544626480796
ABLIM1	0.0197955539030163	0.0549040268886406	0.718437138979218	0	0.641616325616183	0.99386017241081
ABLIM2	0.0543688207563363	0.0537784102146352	0.312026682237471	0	0.80967708321286	0.9454733684563
ABLIM3	-0.03341294120137	0.0539535096049577	0.535724449148455	0	0.965410975993166	0.974814266515186
ABR	0.0724572401746243	0.0996582683625091	0.46719104760426	0.590009431964431	0.0169279395111421	0.966401261834112
ABRACL	-0.024282189177002	0.0562822337011336	0.666151282972154	0	0.616570593623194	0.987924875758231
ABTB1	-0.119291010047782	0.0555939034068417	0.0318923671201949	0.0821836384399847	0.366649080371016	0.778489523743847
ABTB2	0.0429190480600006	0.0656396819263206	0.513203129068878	0.0791102589480116	0.369054756887136	0.971892563280693
ACAA1	-0.0707975724312	0.0766238224061494	0.355505609971937	0.442285691605235	0.0838273817084247	0.949184791720116
ACAA2	-0.0094441265717241	0.0527227131904415	0.857837012026373	0.459694094905497	0.0731970207499375	0.994011515215957
ACACB	-0.094176423159625	0.0529652861559647	0.0753910045839075	0	0.587361597557482	0.827604516680505
ACAD10	0.0402635670363971	0.0761352541553829	0.596914631589329	0.329944280141935	0.164630872594573	0.979668971169742
ACAD11	-0.00694639855675835	0.0522065662036459	0.894149067063156	0	0.956994319144046	0.995500740136223
ACAD8	0.0592477949239839	0.052063716750457	0.255126214780877	0	0.697998496710154	0.930146478317479
ACAD9	0.0155698778999027	0.0519171239224708	0.764254427028082	0.146881250964979	0.314848959367301	0.99386017241081
ACADL	-0.120442626792363	0.0519297145882619	0.020376647237376	0	0.962493334854315	0.723341817277325
ACADM	-0.0435113017785748	0.0502416913428593	0.386468364022817	0	0.565656699773058	0.950489111496429
ACADS	0.0102315961349258	0.0512376422764201	0.841723777757287	0	0.783459621408519	0.994011515215957
ACADSB	-0.0204263255635391	0.0513635704380882	0.690865208120071	0	0.965189322692272	0.9938493897183
ACADVL	0.0210918676767638	0.0781018300879677	0.787117173183902	0.3819960874757	0.124986215488587	0.99386017241081
ACAN	0.0884119671166593	0.0517976423073862	0.0878457679330814	0	0.970654464464998	0.838787592030282
ACAP1	-0.0826344417068225	0.0529069014831726	0.118315323764645	0	0.854808809329971	0.864416771689862
ACAP2	-0.00918162640648159	0.0516575912508526	0.858927076608099	0	0.861522533507885	0.994011515215957
ACAP3	0.0320222749126652	0.0538952479667376	0.552406662336153	0	0.922976129964888	0.976686698348932
ACAT1	0.00666769658637754	0.052507811238252	0.898952388630333	0	0.972828474827002	0.995811115622404
ACAT2	0.00730803570371359	0.0511775572515124	0.886449980814252	0	0.491011745097413	0.994357674228666
ACBD3	-0.0860220160291147	0.0509815460813985	0.0915424642255174	0	0.714425762193668	0.846014377046176
ACBD4	0.00265772246779654	0.0717497352575951	0.970451864549432	0.39141499760948	0.118168158442288	0.999544626480796
ACBD5	-0.0662603017162828	0.0507639153403195	0.19180303155352	0	0.942184389724004	0.911365217812553
ACBD6	-0.0324419856910353	0.0522554720536971	0.534708699557967	0	0.99244418607842	0.974814266515186
ACBD7	0.0380642141797496	0.0502365653365329	0.448630972994755	0	0.941451886591691	0.964321747387829
ACCS	-0.0149495564476763	0.0535952885673313	0.780295357620308	0	0.773202118332997	0.99386017241081
ACD	0.0612802459284277	0.0528997506485319	0.246691780828796	0	0.675986621078728	0.928638053001517
ACE2	0.0481792185197829	0.0533329711404354	0.366331422900148	0	0.50620232483299	0.949184791720116
ACER2	-0.0110144983195704	0.0521270480499093	0.832652388589269	0.0438987934438587	0.396200059055003	0.994011515215957
ACHE	0.000926689801549417	0.064118038959453	0.98846867813248	0.2545844520447	0.225806474576855	0.999544626480796
ACIN1	0.0112224424879476	0.0575902260180929	0.845496961506658	0	0.613527144374861	0.994011515215957
ACKR2	-0.0918798729738824	0.051865545368711	0.0764774025527853	0	0.609373859889693	0.829276094449
ACKR3	-0.00931063603255541	0.0508995873201801	0.854859502417093	0	0.95790147387846	0.994011515215957
ACO1	-0.0486296242689284	0.0551519882586566	0.37791830597569	0	0.972277754202637	0.949184791720116
ACO2	0.0562549122127839	0.054420970717156	0.301276821657502	0.215757415733738	0.258026613053841	0.9454733684563
ACOT1	0.0561407812797003	0.054776652898839	0.305408740184096	0.0914896704398843	0.359331352165633	0.9454733684563
ACOT11	-0.0353621629931664	0.0510715424303207	0.488683375152425	0.0346082412422949	0.403227955220607	0.966401261834112
ACOT13	0.0751361707316865	0.0525200916502635	0.152539822697793	0	0.91557394196776	0.893979844030902
ACOT2	-0.00455074878470634	0.0511533799253386	0.929111460528748	0	0.761262984819691	0.997876342250177
ACOT4	-0.0646479631940722	0.0518697074225876	0.212634844096347	0	0.752892330679262	0.916630880507277
ACOT7	-0.0273176468212297	0.0528693239318059	0.605364709363305	0	0.576612938441799	0.979668971169742
ACOT8	-0.0660787201282912	0.0501010524479573	0.187199596045727	0	0.584892362844118	0.911235743271874
ACOT9	-0.0370367368501286	0.0503842797342712	0.46228762529755	0	0.677219096438133	0.965873945287138
ACOX1	-0.00679445930630594	0.052646958017694	0.897312533710127	0	0.779231625368556	0.995811115622404
ACOX2	-0.0433143805376426	0.0519716552230667	0.404606123801948	0	0.974167673865361	0.95285217764704
ACOX3	0.0477041563957878	0.051162371917532	0.351126201478442	0	0.655143894461145	0.949184791720116
ACP1	0.027836675778553	0.0520849296129192	0.593031759032523	0.250303862503577	0.229349973618018	0.979668971169742
ACP2	-0.13705818302501	0.0486625244627651	0.0048549474976564	0	0.764573103917021	0.594240662407676
ACP5	-0.120077977288402	0.0881463343650041	0.173116734591293	0.625363374396028	0.0092343269161811	0.905244816308893
ACRBP	-0.0110985957488115	0.0517043206222148	0.830036237011455	0	0.859425257530463	0.994011515215957
ACSBG1	0.0551878231184469	0.0523775033993384	0.292040856717631	0.0990238116456971	0.353371170483819	0.94464635461458
ACSF2	-0.0640396383559655	0.0511387198266188	0.2104704018959	0	0.946808162369135	0.916630880507277
ACSF3	0.0478595578437408	0.0517284431600898	0.354857839534394	0	0.79923384219369	0.949184791720116
ACSL1	-0.0988114660415029	0.0518294715972105	0.0565889208927352	0	0.618551417338384	0.806203427710464
ACSL3	-0.0154319125797018	0.049488575702689	0.755171412377366	0	0.822473879197829	0.99386017241081
ACSL4	-0.0958606904199131	0.0484936131507743	0.0480677024132427	0	0.846057343047659	0.800486880993347
ACSL5	-0.0770477904370949	0.0690185838097267	0.26427920120398	0.338891412208954	0.157613746042547	0.933350032319951
ACSL6	0.0587054389488518	0.0528576956571205	0.266726858607291	0.358380179784767	0.142598274647083	0.934239173711291
ACSM3	0.0440220912638788	0.0554110432961512	0.426925230972077	0	0.73922043811122	0.957803673515894
ACSS1	-0.0319040498287829	0.0717886623383051	0.656741649661802	0.415817201829669	0.101134160260716	0.986603662898759
ACSS2	0.0228441019836097	0.061317852930254	0.709481742570236	0.0276364353660409	0.408463211947205	0.99386017241081
ACSS3	0.0372960486185436	0.0667857389776856	0.576541710637543	0	0.514741421328042	0.979668971169742
ACTA2	0.0271753280031585	0.0490446030459478	0.579514408402908	0	0.887505592392491	0.979668971169742
ACTB	-0.0202110607460754	0.0692317241537216	0.770337456017242	0.434525150458743	0.0780034225380493	0.99386017241081
ACTG2	0.00330388454095524	0.0542825052960662	0.951467019240772	0	0.769431878147473	0.997876342250177
ACTL6A	0.044171468161448	0.0556969539192291	0.427738244111677	0	0.905228672513257	0.958154960974526
ACTN1	0.0281806839579769	0.0573410168790887	0.623102766776043	0	0.600338458762049	0.980218146814669
ACTN4	0.0594564873011851	0.0537634530686099	0.268773954970333	0	0.703408759954868	0.934239173711291
ACTR10	0.0274955340290481	0.0532878166937714	0.605867245844092	0	0.926476881859522	0.979668971169742
ACTR1A	-0.0615576646779201	0.057752427629787	0.28647392115457	0	0.565731074688129	0.941697073619302
ACTR1B	0.054134158061411	0.0504749062366513	0.283497104863385	0	0.90565244102597	0.94027488190441
ACTR2	-0.0138706114216698	0.0482489106696679	0.773744582228995	0	0.704547443807565	0.99386017241081
ACTR3	-0.0297826014171554	0.060660277882808	0.62344504508828	0	0.465431074611888	0.980218146814669
ACTR3B	0.0425642544385357	0.0563698482626833	0.450195560673415	0	0.876881731687039	0.964321747387829
ACTR3C	-0.0259454750542587	0.0511796922618433	0.612190860526009	0	0.993919899380584	0.979668971169742
ACTR5	0.0218998500285523	0.0522129255171524	0.67489934644762	0	0.9797712791756	0.989984697263747
ACTR6	0.0136792261741842	0.0527657358666647	0.795446607676342	0	0.710644583942134	0.99386017241081
ACTR8	0.0507314232207817	0.0532429604690786	0.340676847351352	0	0.504356681842606	0.946891862523283
ACTRT3	-0.0302190823125016	0.0597621029079256	0.613097968971252	0.281483380787343	0.203653862771167	0.979668971169742
ACVR1	-0.0268749214616901	0.0565344726933813	0.634521645171268	0	0.610901375282339	0.982987592187663
ACVR1B	-0.0611317286077829	0.054061963385652	0.258151269202021	0	0.552435072679012	0.931932402711955
ACVR1C	-0.063056051236326	0.0606943642739812	0.298846064499102	0.382602815005073	0.124543254319316	0.9454733684563
ACVR2A	-0.000970282344900991	0.0561023205975632	0.986201378090137	0	0.627284892769742	0.999544626480796
ACVR2B	0.00166743215394882	0.0518090464875949	0.974325164845907	0	0.561882276888864	0.999544626480796
ACVRL1	0.0358379003542647	0.069276286165418	0.604933883038107	0.41330032377161	0.102845998553744	0.979668971169742
ACY1	0.00991583799788092	0.0524581540036072	0.850074187430433	0	0.946503647631513	0.994011515215957
ACYP1	-0.0192154296614782	0.0530048309672356	0.716961812586325	0	0.618745838079021	0.99386017241081
ACYP2	0.0619221637734346	0.0556186609787375	0.265564874359333	0	0.905648202845678	0.934239173711291
ADA	-0.0295816835185457	0.0516848802460972	0.56708694887287	0	0.787028686597375	0.979668971169742
ADAL	0.0774334884251561	0.0539430620015621	0.151154049452032	0	0.920156210291776	0.89156388432037
ADAM10	0.00184464089806354	0.0548268261712227	0.973160349287882	0	0.768913700360715	0.999544626480796
ADAM12	0.0738312725799122	0.0553434345582186	0.182185317022535	0	0.793450280775685	0.911070394849521
ADAM15	0.0710871150793909	0.0705173762841882	0.31341634139859	0.173725986573731	0.292835553930604	0.9454733684563
ADAM17	0.0695969924796173	0.0533617412000114	0.192148730595745	0	0.83748671102364	0.911365217812553
ADAM19	-0.0187694048810485	0.0557871804030354	0.736534144679913	0.0823731106072374	0.366500589787376	0.99386017241081
ADAM20	0.0188270510188501	0.0670135683147379	0.778753454093683	0	0.450463315937273	0.99386017241081
ADAM22	0.0239974737527747	0.0678935403081405	0.72374556546112	0	0.461908545701394	0.99386017241081
ADAM23	0.0641721867777927	0.0526598119615154	0.22298927128564	0	0.473034835289297	0.919873029189981
ADAM28	-0.060459145977695	0.0530338118873696	0.254281584412953	0	0.733987522360958	0.930146478317479
ADAM32	0.107074660817538	0.0516537832712632	0.0381788236784291	0	0.692800406846009	0.786474893810367
ADAM8	-0.00599330617131121	0.0756542325323053	0.936857869546339	0.427678398166413	0.0932171871934692	0.997876342250177
ADAM9	-0.043919569873255	0.0503041815453275	0.382619527923131	0	0.965859690278148	0.95013887986145
ADAMDEC1	-0.0956495402993637	0.0815915516801311	0.241077791185768	0.464344050742408	0.0704666744274353	0.926872370381801
ADAMTS1	0.0557366503791012	0.0513830321579095	0.278041826540832	0	0.726785781067673	0.938677416190777
ADAMTS14	0.0955192447878292	0.0777677704884897	0.219348401907227	0.400626482624218	0.111626675953791	0.919873029189981
ADAMTS15	0.00172942394239573	0.0529482255401345	0.973943690549434	0	0.659902385004328	0.999544626480796
ADAMTS16	0.0458911899210403	0.0696383430722627	0.509900177924793	0.0952488880495873	0.356361391509322	0.971811799902405
ADAMTS17	-0.0352277678369596	0.0531276138394198	0.507280408094624	0.0117338054410912	0.420277940409136	0.969946578343792
ADAMTS2	-0.0324790508996265	0.0655217849029859	0.620107141182959	0.215700119633073	0.258074206220128	0.980218146814669
ADAMTS3	0.123331639320052	0.05734045786375	0.0314867804983626	0.0210530128224207	0.413375904757419	0.778489523743847
ADAMTS4	0.0667225524426922	0.0537171597734465	0.214196452540953	0	0.489743375002937	0.917537316441269
ADAMTS5	-0.0100517244924	0.0525502399021627	0.848307502563693	0	0.889001726473618	0.994011515215957
ADAMTS6	0.0712190200770453	0.0532663171727491	0.181210662831841	0	0.608376346790015	0.909329152372365
ADAMTS7	0.156673874201413	0.0566826305987814	0.00570880217792134	0.230664436747073	0.245643036138921	0.602718230195228
ADAMTS9	0.0579941479678722	0.0680123193722432	0.393825338248538	0.120763368144495	0.336005336888332	0.950881514947114
ADAMTSL1	0.0488402293342071	0.0489783415824484	0.318677080854616	0	0.601172488288519	0.9454733684563
ADAMTSL2	-0.0137010739707013	0.0523234060146144	0.793434287849208	0.403404447053555	0.109679708600202	0.99386017241081
ADAMTSL3	0.0173012417491194	0.0522315115054686	0.740462111122715	0	0.88963829676163	0.99386017241081
ADAMTSL4	-0.0657462932329775	0.0521128002500292	0.207087337034719	0	0.822566166397901	0.916630880507277
ADAMTSL5	-0.0463621284171475	0.0639541488990228	0.468496440556315	0	0.439234314758183	0.966401261834112
ADAP1	0.0415058814815729	0.0663353333617678	0.531513084222199	0.277940092415221	0.206557744063837	0.974814266515186
ADAP2	-0.0888506209596454	0.051994593976212	0.0874799532408681	0.0980208631387069	0.35416639283247	0.838787592030282
ADAR	-0.0493282622088317	0.0554739201375331	0.373887346067669	0.0181751748781991	0.41551386710341	0.949184791720116
ADARB1	0.0666194743122275	0.0520386615317314	0.200477644950728	0	0.884209093604641	0.916069733456283
ADARB2	-0.0151163226204051	0.0726793681262415	0.835239559639526	0.320917264833537	0.171779685015824	0.994011515215957
ADAT1	0.00394853840262724	0.0593063856801764	0.946917152150972	0.023880380257908	0.411269769463169	0.997876342250177
ADAT2	0.0497124419226705	0.0496646349583543	0.316844892110191	0	0.557036602559517	0.9454733684563
ADAT3	-0.0171386477121047	0.0518100666283625	0.740797344461963	0	0.514810966260506	0.99386017241081
ADCK1	0.068010841098257	0.0529477454498112	0.198970616152909	0	0.90397894118536	0.915832213193716
ADCK2	0.0144954319636985	0.0556121464745416	0.794360680439976	0.175942645130496	0.291008154312487	0.99386017241081
ADCY1	-0.0245213144931004	0.107949437778512	0.820302785981317	0.580430674069987	0.0195530873576329	0.994011515215957
ADCY10	0.0631151459864713	0.092428466306781	0.494699116753572	0.523088008433782	0.0403591752732625	0.966401261834112
ADCY10P1	0.0304121508422381	0.0825401340246268	0.712535567119928	0.411289993369997	0.10422107571437	0.99386017241081
ADCY2	-0.070468618437758	0.0554107717168619	0.203462154819864	0	0.906214494756109	0.91610438953165
ADCY3	0.0248261126383328	0.0544784096300047	0.648601743475854	0	0.662159574280032	0.984618652118473
ADCY4	0.0467870422680885	0.0757535573572237	0.536824724758879	0.355984555200579	0.144422366909027	0.974814266515186
ADCY5	-0.00496044690369237	0.0719616527528448	0.945043898800183	0.332746188904053	0.162425719983525	0.997876342250177
ADCY6	0.0990480451687903	0.0545885719914027	0.0696090072947484	0.0491913899310914	0.392170622345609	0.81601309061367
ADCY7	-0.054242213840094	0.0665808453887867	0.415254380312567	0	0.53839262392277	0.953615203113752
ADCY9	-0.034056827983392	0.0511981512663701	0.505924856866997	0	0.788284973291181	0.969602910663388
ADD1	-0.0339893131816676	0.0497456160531859	0.494440995850676	0	0.540102934746184	0.966401261834112
ADD3	0.00708397034125143	0.0506005373691665	0.888661628202957	0.162861178955272	0.301772766024229	0.994357674228666
ADH1B	-0.081164672074359	0.0538169391153979	0.131513024883343	0.170529899042512	0.29546809704213	0.878938279477811
ADH1C	-0.0152501454906877	0.0535912667412146	0.775978191458889	0	0.916433187755677	0.99386017241081
ADH5	-0.0338641845533946	0.0514605413316177	0.510498819254981	0	0.981765518062498	0.971815807234363
ADHFE1	-0.0653646256005809	0.0517321865911336	0.206402549708532	0	0.85110140298872	0.916630880507277
ADI1	0.0142576416710043	0.0522854614238353	0.785092710420158	0	0.966222716939265	0.99386017241081
ADIPOR1	-0.0393195124411381	0.0525624929042648	0.454428397032623	0.235802085810927	0.241376769772245	0.964321747387829
ADIPOR2	0.0235553939475125	0.0511543727650444	0.645174131497949	0	0.990572603930776	0.984618652118473
ADIRF	-0.0551762623657734	0.0524745220130772	0.293035111351344	0	0.671516484801966	0.9454733684563
ADK	-0.000163494689366371	0.0711350701938008	0.998166167922333	0.307176490351887	0.182779105476326	0.999544626480796
ADM	0.0170060324338332	0.0514316487836318	0.740906556681413	0	0.706616990877013	0.99386017241081
ADM2	0.0330033164227376	0.0534922213408545	0.537251793177307	0	0.862369651292713	0.974814266515186
ADNP	0.0642594024692558	0.0553825675350342	0.245933964726484	0.129210468465733	0.329195343262767	0.928638053001517
ADNP2	-0.0407823998799253	0.0523372536524327	0.435848272866308	0	0.622825564720209	0.96233237679079
ADO	0.0300867964578325	0.0569702090495301	0.597419830969515	0	0.583242167759194	0.979668971169742
ADORA1	0.0888354541717278	0.0781101632663749	0.255408799331346	0.332303385903195	0.162773760834277	0.930146478317479
ADORA2B	0.0528624026297798	0.0519481962721964	0.30886883686804	0	0.532345497427939	0.9454733684563
ADPGK	-0.0663642997670722	0.0510611517724809	0.193702999161912	0	0.685583811425243	0.911365217812553
ADPRH	0.0500623987179813	0.0539860928532211	0.353760268105773	0	0.632611839909256	0.949184791720116
ADPRHL1	0.0561247416090683	0.0467285518284659	0.229720065916037	0	0.686810084418131	0.923773848045733
ADPRM	-0.0454849041356239	0.0540242745854769	0.399824581261968	0	0.742454411762868	0.952514131153811
ADRA1A	0.0957582404224973	0.0647833627622358	0.139372950839132	0.196404989631036	0.274087388678433	0.887212506766398
ADRA2A	0.0605736494195617	0.0511389016913687	0.236218133187288	0.333328071903557	0.161968624806694	0.926300434049321
ADRB1	-0.0256874563103056	0.0715825700346499	0.719706772236518	0.340553392739408	0.156318330223843	0.99386017241081
ADRB2	-0.0733624576379792	0.0530348089573189	0.166576328518523	0	0.637187981880467	0.905244816308893
ADRM1	0.0841747550122617	0.0542119275928108	0.120495285100524	0	0.674213816634439	0.865765851790287
ADSL	0.118564972445039	0.0567674629770526	0.0367430321841607	0	0.477331442507812	0.786474893810367
ADTRP	0.00641880458558414	0.0529023014817144	0.903427138552294	0	0.642417631720714	0.995935104358266
AEBP1	0.0604032874893512	0.0477996731858296	0.206346435327319	0	0.606911498040699	0.916630880507277
AEBP2	0.0531937490853152	0.0512027830091586	0.298858715166178	0	0.723406529703007	0.9454733684563
AEN	0.00110728250734638	0.0480828871713378	0.981627444035417	0	0.780576928138119	0.999544626480796
AFAP1	0.121762298288294	0.0496382405130607	0.0141672764084143	0	0.559394950602106	0.674640276586739
AFAP1L1	0.0485042692085146	0.0518875556289684	0.349893543149849	0	0.992393747227418	0.949184791720116
AFAP1L2	-0.0141403934082324	0.0511833482067393	0.782341149253919	0	0.880909204816702	0.99386017241081
AFF1	-0.035611676272585	0.0687438300304838	0.604434191945456	0.154850253197815	0.308339095855267	0.979668971169742
AFF3	-0.0264632313173718	0.0503928754585333	0.599487020247235	0	0.804040783733336	0.979668971169742
AFF4	0.0679532987306384	0.0524266438498078	0.194920498348345	0	0.810866056729164	0.911386160529
AFG3L1P	-0.00474666133870723	0.0664756701527117	0.94307583606209	0.259416183484603	0.221811540941825	0.997876342250177
AFG3L2	-0.0711973037181128	0.0500568184682141	0.15493053689052	0	0.558591770217738	0.89541873572164
AFMID	0.0530068622775627	0.0496311335879911	0.285513135407981	0	0.619850903638352	0.941697073619302
AFTPH	-0.0133055150491637	0.0510452718189083	0.794353891881203	0	0.911355232445753	0.99386017241081
