gene;coef
BTLA;-1
VSIR;-1
CD200;-1
CD200R1;-1
CD27;1
CD274;-1
CD276;-1
CD28;1
CD40;1
CD80;-1
CD86;-1
CEACAM1;-1
CTLA4;-1
HAVCR2;-1
IDO1;-1
IL2RB;1
LAG3;-1
PDCD1;-1
PDCD1LG2;-1
PVR;-1
NECTIN2;-1
TIGIT;-1
TNFRSF14;1
TNFRSF18;1
TNFRSF4;1
TNFRSF9;1
TNFSF4;1
TNFSF9;1
