APM_Wang
PSMB5
PSMB6
PSMB7
PSMB8
PSMB9
PSMB10
TAP1
TAP2
ERAP1
ERAP2
CANX
CALR
PDIA3
TAPBP
B2M
HLA-A
HLA-B
HLA-C
