gene;coef
LEPR;-1
PRLHR;-1
NR2F2;-1
PRL;-1
NRP1;-1
ANGPTL5;-1
IGF1;-1
TNFRSF10B;1
TNFRSF10A;1
PLAU;1
IFI30;1
