IRG_Ayers
CD3D
IDO1
CIITA
CD3E
CCL5
GZMK
CD2
HLA-DRA
CXCL13
IL2RG
NKG7
HLA-E
CXCR6
TAGAP
CXCL10
STAT1
GZMB
